   1
  1     1.06000 0.001 0
  14
 14    -0.14900 0.001 0
 10    -0.09000 0.001 0
  7     0.00000 0.001 0
  8     0.00000 0.001 0
  3    -0.94200 0.001 0
  2     0.18300 0.001 0
  1     2.32283 0.001 0
 12    -0.06100 0.001 0
 13    -0.13500 0.001 0
  6    -0.11200 0.001 0
  9    -0.29500 0.001 0
  4    -0.47800 0.001 0
  5    -0.07600 0.001 0
 11    -0.03500 0.001 0
  14
 14    -0.05000 0.001 0
 10    -0.05800 0.001 0
  7     0.00000 0.001 0
  8     0.17357 0.001 0
  3     0.04393 0.001 0
  2     0.29695 0.001 0
  1    -0.16888 0.001 0
 12    -0.01600 0.001 0
 13    -0.05800 0.001 0
  6     0.04718 0.001 0
  9    -0.16600 0.001 0
  4     0.03900 0.001 0
  5    -0.01600 0.001 0
 11    -0.01800 0.001 0
  20
 12 13     0.01610 0.001 0
  5  4     0.61735 0.001 0
  5  6     0.44061 0.001 0
 13 14     0.05634 0.001 0
  2  3     0.73186 0.001 0
  6 13     0.17736 0.001 0
  1  2     1.56828 0.001 0
  3  4    -0.23329 0.001 0
  7  8     0.00000 0.001 0
  4  7     0.28086 0.001 0
 12  6    -0.07708 0.001 0
 14  9    -0.09321 0.001 0
 10  9    -0.05226 0.001 0
 11 10     0.03789 0.001 0
  6 11     0.07339 0.001 0
  2  5     0.41513 0.001 0
  1  5     0.75552 0.001 0
  2  4     0.56139 0.001 0
  9  7    -0.28085 0.001 0
  9  4    -0.16089 0.001 0
  20
 12 13     0.00743 0.001 0
  5  4    -0.15366 0.001 0
  5  6     0.12824 0.001 0
 13 14     0.01694 0.001 0
  2  3     0.03565 0.001 0
  6 13     0.07161 0.001 0
  1  2    -0.20391 0.001 0
  3  4     0.02809 0.001 0
  7  8    -0.16910 0.001 0
  4  7    -0.09422 0.001 0
 12  6    -0.02338 0.001 0
 14  9    -0.03417 0.001 0
 10  9    -0.04272 0.001 0
 11 10     0.01564 0.001 0
  6 11     0.03465 0.001 0
  2  5     0.00762 0.001 0
  1  5     0.03504 0.001 0
  2  4    -0.02287 0.001 0
  9  7    -0.04993 0.001 0
  9  4     0.01625 0.001 0
   0


