CASE30 MATPOWER converted to IEEE-CDF-like fixed-column format for Python parser
BUS DATA FOLLOWS
   1                     3 1.000   0.00                                                                     0.0000  0.0000
   2                     2 1.000  -0.41                                                                     0.0000  0.0000
   3                     1 0.983  -1.52                                                                     0.0000  0.0000
   4                     1 0.980  -1.79                                                                     0.0000  0.0000
   5                     1 0.982  -1.86                                                                     0.0000  0.0000
   6                     1 0.973  -2.27                                                                     0.0000  0.0000
   7                     1 0.967  -2.65                                                                     0.0000  0.0000
   8                     1 0.961  -2.73                                                                     0.0000  0.0000
   9                     1 0.981  -3.00                                                                     0.0000  0.0000
  10                     1 0.984  -3.38                                                                     0.0000  0.0000
  11                     1 0.981  -3.00                                                                     0.0000  0.0000
  12                     1 0.985  -1.54                                                                     0.0000  0.0000
  13                     2 1.000   1.48                                                                     0.0000  0.0000
  14                     1 0.977  -2.31                                                                     0.0000  0.0000
  15                     1 0.980  -2.31                                                                     0.0000  0.0000
  16                     1 0.977  -2.64                                                                     0.0000  0.0000
  17                     1 0.977  -3.39                                                                     0.0000  0.0000
  18                     1 0.968  -3.48                                                                     0.0000  0.0000
  19                     1 0.965  -3.96                                                                     0.0000  0.0000
  20                     1 0.969  -3.87                                                                     0.0000  0.0000
  21                     1 0.993  -3.49                                                                     0.0000  0.0000
  22                     2 1.000  -3.39                                                                     0.0000  0.0000
  23                     2 1.000  -1.59                                                                     0.0000  0.0000
  24                     1 0.989  -2.63                                                                     0.0000  0.0000
  25                     1 0.990  -1.69                                                                     0.0000  0.0000
  26                     1 0.972  -2.14                                                                     0.0000  0.0000
  27                     2 1.000  -0.83                                                                     0.0000  0.0000
  28                     1 0.975  -2.27                                                                     0.0000  0.0000
  29                     1 0.980  -2.13                                                                     0.0000  0.0000
  30                     1 0.968  -3.04                                                                     0.0000  0.0000
-999
BRANCH DATA FOLLOWS
   1    2             0.01920    0.05750   0.05280                           1.000
   1    3             0.04520    0.18520   0.04080                           1.000
   2    4             0.05700    0.17370   0.03680                           1.000
   3    4             0.01320    0.03790   0.00840                           1.000
   2    5             0.04720    0.19830   0.04180                           1.000
   2    6             0.05810    0.17630   0.03740                           1.000
   4    6             0.01190    0.04140   0.00900                           1.000
   5    7             0.04600    0.11600   0.02040                           1.000
   6    7             0.02670    0.08200   0.01700                           1.000
   6    8             0.01200    0.04200   0.00900                           1.000
   6    9             0.00000    0.20800   0.00000                           1.000
   6   10             0.00000    0.55600   0.00000                           1.000
   9   11             0.00000    0.20800   0.00000                           1.000
   9   10             0.00000    0.11000   0.00000                           1.000
   4   12             0.00000    0.25600   0.00000                           1.000
  12   13             0.00000    0.14000   0.00000                           1.000
  12   14             0.12310    0.25590   0.00000                           1.000
  12   15             0.06620    0.13040   0.00000                           1.000
  12   16             0.09450    0.19870   0.00000                           1.000
  14   15             0.22100    0.19970   0.00000                           1.000
  16   17             0.08240    0.19230   0.00000                           1.000
  15   18             0.10730    0.21850   0.00000                           1.000
  18   19             0.06390    0.12920   0.00000                           1.000
  19   20             0.03400    0.06800   0.00000                           1.000
  10   20             0.09360    0.20900   0.00000                           1.000
  10   17             0.03240    0.08450   0.00000                           1.000
  10   21             0.03480    0.07490   0.00000                           1.000
  10   22             0.07270    0.14990   0.00000                           1.000
  21   22             0.01160    0.02360   0.00000                           1.000
  15   23             0.10000    0.20200   0.00000                           1.000
  22   24             0.11500    0.17900   0.00000                           1.000
  23   24             0.13200    0.27000   0.00000                           1.000
  24   25             0.18850    0.32920   0.00000                           1.000
  25   26             0.25440    0.38000   0.00000                           1.000
  25   27             0.10930    0.20870   0.00000                           1.000
  28   27             0.00000    0.39600   0.00000                           1.000
  27   29             0.21980    0.41530   0.00000                           1.000
  27   30             0.32020    0.60270   0.00000                           1.000
  29   30             0.23990    0.45330   0.00000                           1.000
   8   28             0.06360    0.20000   0.04280                           1.000
   6   28             0.01690    0.05990   0.01300                           1.000
-999
END OF DATA
