   1
  1     1.06000 0.001 0
   7
  8     0.00000 0.001 0
  3    -0.94200 0.001 0
  2     0.18300 0.001 0
  1     2.32283 0.001 0
  6    -0.11200 0.001 0
  5    -0.07600 0.001 0
  4    -0.47800 0.001 0
   7
  8     0.17357 0.001 0
  3     0.04393 0.001 0
  2     0.29695 0.001 0
  1    -0.16888 0.001 0
  6     0.04718 0.001 0
  5    -0.01600 0.001 0
  4     0.03900 0.001 0
  14
  4  9     0.16089 0.001 0
  2  3     0.73186 0.001 0
  7  9     0.28085 0.001 0
  6 13     0.17736 0.001 0
  1  2     1.56828 0.001 0
  3  4    -0.23329 0.001 0
  7  8     0.00000 0.001 0
  4  7     0.28086 0.001 0
  6 12     0.07780 0.001 0
  6 11     0.07339 0.001 0
  9 10     0.05239 0.001 0
  9 14     0.09438 0.001 0
  1  5     0.75552 0.001 0
  2  4     0.56139 0.001 0
  14
  4  9    -0.00322 0.001 0
  2  3     0.03565 0.001 0
  7  9     0.05795 0.001 0
  6 13     0.07161 0.001 0
  1  2    -0.20391 0.001 0
  3  4     0.02809 0.001 0
  7  8    -0.16910 0.001 0
  4  7    -0.09422 0.001 0
  6 12     0.02487 0.001 0
  6 11     0.03465 0.001 0
  9 10     0.04307 0.001 0
  9 14     0.03665 0.001 0
  1  5     0.03504 0.001 0
  2  4    -0.02287 0.001 0
   0


