06/02/26 SYNTHETIC CASE      100.0  2026 W IEEE 30 Bus Modified 50 Branch Test Case
BUS DATA FOLLOWS                            30 ITEMS
   1 Bus_1     132  1  1  3 1.060    0.00     27.0      5.8      1.8     19.6   132.0
   2 Bus_2     132  1  1  2 1.023   -5.15     19.9     12.8     59.3     13.8   132.0
   3 Bus_3     132  1  1  0 0.961  -19.85     12.1      1.5      0.0      0.0   132.0
   4 Bus_4     132  1  1  0 1.027  -16.84     30.0     18.3      0.0      0.0   132.0
   5 Bus_5     132  1  1  2 0.962  -13.09     26.8      1.4      1.4     24.2   132.0
   6 Bus_6     132  1  1  0 0.986  -15.26     28.3     13.5      0.0      0.0   132.0
   7 Bus_7     132  1  1  0 0.989  -17.90      5.6      9.9      0.0      0.0   132.0
   8 Bus_8     132  1  1  2 1.015  -16.59     43.9      5.0      4.8      7.3   132.0
   9 Bus_9     132  1  1  0 1.015  -15.39     20.5     15.0      0.0      0.0   132.0
  10 Bus_10    132  1  1  0 1.016  -10.47      9.3     12.9      0.0      0.0   132.0
  11 Bus_11     33  1  1  2 0.999  -17.25     47.4     10.4      4.1     28.1    33.0
  12 Bus_12     33  1  1  0 0.964   -9.49     24.3     18.7      0.0      0.0    33.0
  13 Bus_13     33  1  1  2 1.020   -5.11     34.8     13.5     41.2     24.8    33.0
  14 Bus_14     33  1  1  0 0.999   -8.40     11.3      4.3      0.0      0.0    33.0
  15 Bus_15     33  1  1  0 1.010   -8.63     37.0     12.4      0.0      0.0    33.0
  16 Bus_16     33  1  1  0 0.999   -7.60     31.3      7.6      0.0      0.0    33.0
  17 Bus_17     33  1  1  0 0.976  -12.88     34.7      7.5      0.0      0.0    33.0
  18 Bus_18     33  1  1  0 0.999  -14.42     47.8     10.6      0.0      0.0    33.0
  19 Bus_19     33  1  1  0 1.014  -13.79      6.0      6.7      0.0      0.0    33.0
  20 Bus_20     33  1  1  0 1.037  -11.06     12.7      7.8      0.0      0.0    33.0
  21 Bus_21     11  1  1  0 0.977  -12.71      1.8      8.9      0.0      0.0    11.0
  22 Bus_22     11  1  1  0 1.039  -16.46     24.8     17.0      0.0      0.0    11.0
  23 Bus_23     11  1  1  0 1.019  -16.46      6.9     17.3      0.0      0.0    11.0
  24 Bus_24     11  1  1  0 1.009   -1.47     45.8     16.7      0.0      0.0    11.0
  25 Bus_25     11  1  1  0 1.025  -11.55     23.8      2.9      0.0      0.0    11.0
  26 Bus_26     11  1  1  0 1.006  -19.46     19.0     15.2      0.0      0.0    11.0
  27 Bus_27     11  1  1  0 0.979  -15.39     30.6     18.0      0.0      0.0    11.0
  28 Bus_28     11  1  1  0 1.013   -9.57     22.4      2.0      0.0      0.0    11.0
  29 Bus_29     11  1  1  0 1.001  -15.25     28.7      3.5      0.0      0.0    11.0
  30 Bus_30     11  1  1  0 1.021   -9.68      5.3      4.0      0.0      0.0    11.0
-999
BRANCH DATA FOLLOWS                         50 ITEMS
   1    2  1  1 1 0   0.0617    0.0624      0.0057
   2    3  1  1 1 0   0.0211    0.1487      0.0011
   3    4  1  1 1 0   0.0581    0.1589      0.0380
   4    5  1  1 1 0   0.0643    0.1920      0.0259
   5    6  1  1 1 0   0.0313    0.1655      0.0075
   6    7  1  1 1 0   0.0260    0.1870      0.0299
   7    8  1  1 1 0   0.0196    0.1330      0.0299
   8    9  1  1 1 0   0.0256    0.1763      0.0072
   9   10  1  1 1 0   0.0215    0.1272      0.0144
  10   11  1  1 1 0   0.0603    0.1270      0.0145
  11   12  1  1 1 0   0.0673    0.2152      0.0386
  12   13  1  1 1 0   0.0184    0.0971      0.0049
  13   14  1  1 1 0   0.0621    0.1374      0.0046
  14   15  1  1 1 0   0.0755    0.0559      0.0022
  15   16  1  1 1 0   0.0730    0.1351      0.0428
  16   17  1  1 1 0   0.0512    0.0687      0.0241
  17   18  1  1 1 0   0.0633    0.0437      0.0389
  18   19  1  1 1 0   0.0345    0.1478      0.0161
  19   20  1  1 1 0   0.0652    0.1416      0.0226
  20   21  1  1 1 0   0.0144    0.1929      0.0087
  21   22  1  1 1 0   0.0523    0.0411      0.0054
  22   23  1  1 1 0   0.0539    0.0995      0.0298
  23   24  1  1 1 0   0.0584    0.1144      0.0267
  24   25  1  1 1 0   0.0373    0.0492      0.0422
  25   26  1  1 1 0   0.0471    0.2223      0.0320
  26   27  1  1 1 0   0.0541    0.0634      0.0310
  27   28  1  1 1 0   0.0402    0.0981      0.0056
  28   29  1  1 1 0   0.0226    0.0547      0.0330
  29   30  1  1 1 0   0.0397    0.0668      0.0283
   1    5  1  1 1 0   0.0714    0.2347      0.0039
   2    6  1  1 1 0   0.0535    0.1690      0.0240
   3    7  1  1 1 0   0.0361    0.1381      0.0171
   4    8  1  1 1 0   0.0375    0.0780      0.0347
   5    9  1  1 1 0   0.0698    0.2435      0.0187
   6   10  1  1 1 0   0.0264    0.0932      0.0010
   7   11  1  1 1 0   0.0568    0.0703      0.0251
   8   12  1  1 1 0   0.0705    0.1875      0.0315
   9   13  1  1 1 0   0.0637    0.1681      0.0412
  10   14  1  1 1 0   0.0528    0.0875      0.0035
  11   15  1  1 1 0   0.0756    0.0637      0.0266
  12   16  1  1 1 0   0.0713    0.2161      0.0378
  13   17  1  1 1 0   0.0133    0.0466      0.0261
  14   18  1  1 1 0   0.0169    0.0868      0.0128
  15   19  1  1 1 0   0.0659    0.2109      0.0399
  16   20  1  1 1 0   0.0716    0.2238      0.0091
  17   21  1  1 1 0   0.0799    0.1128      0.0353
  18   22  1  1 1 0   0.0652    0.0880      0.0459
  19   23  1  1 1 0   0.0534    0.1855      0.0185
  20   24  1  1 1 0   0.0613    0.0816      0.0167
  21   25  1  1 1 0   0.0595    0.2224      0.0284
-999
